Country;Total
Afghanistan;38
Albania;
Algeria;85
Andorra;
Angola;27
Antigua and Barbuda;
Argentina;
Armenia;95
Australia;
Austria;
Azerbaijan;
Bahamas;
Bahrain;
Bangladesh;58
Barbados;
Belarus;
Belgium;
Belize;90
Benin;12
Anguilla;
Bhutan;92
Bolivia (Plurinational State of);27
Bosnia and Herzegovina;
Botswana;
Brazil;
Brunei Darussalam;
Bulgaria;
Burkina Faso;9
Burundi;6
Cabo Verde;
Cambodia;74
Cameroon;36
Canada;
Central African Republic;22
Chad;25
Chile;
China;
Colombia;68
Comoros;
Congo;
Cook Islands;
Costa Rica;86
Côte d'Ivoire;22
Croatia;
Cuba;92
Cyprus;
Czechia;
Democratic People's Republic of Korea;
Democratic Republic of the Congo;19
Denmark;
Djibouti;
Dominica;
Dominican Republic;47
Ecuador;87
Egypt;90
El Salvador;
Equatorial Guinea;
Eritrea;
Estonia;
Eswatini;24
Ethiopia;8
Fiji;
Finland;
France;
Gabon;
Gambia;18
Georgia;92
Germany;
Ghana;42
Greece;
Grenada;
Guatemala;
Guinea;20
Guinea-Bissau;18
Guyana;
Haiti;22
Honduras;
Hungary;
Iceland;
India;68
Indonesia;94
Iran (Islamic Republic of);
Iraq;97
Ireland;
Israel;
Italy;
Jamaica;
Japan;
Jordan;
Kazakhstan;
Kenya;27
Kiribati;56
Kuwait;
Kyrgyzstan;100
Lao People's Democratic Republic;56
Latvia;
Lebanon;
Lesotho;6
Liberia;
Libya;
Lithuania;
Luxembourg;
Madagascar;27
Malawi;8
Malaysia;
Maldives;96
Mali;17
Malta;
Marshall Islands;85
Mauritania;
Mauritius;
Mexico;
Micronesia (Federated States of);
Monaco;
Mongolia;86
Montenegro;99
Morocco;
Mozambique;
Myanmar;75
Namibia;
Nauru;
Nepal;62
Netherlands;
New Zealand;
Nicaragua;
Niger;23
Nigeria;33
Niue;
Norway;
occupied Palestinian territory, including east Jerusalem;92
Oman;97
Pakistan;80
Palau;
Panama;
Papua New Guinea;30
Paraguay;80
Peru;
Philippines;82
Poland;
Portugal;
Qatar;
Republic of Korea;
Republic of Moldova;
North Macedonia;100
Romania;
Russian Federation;
Rwanda;5
Saint Kitts and Nevis;
Saint Lucia;
Saint Vincent and the Grenadines;
Samoa;79
San Marino;
Sao Tome and Principe;55
Saudi Arabia;
Senegal;22
Serbia;
Seychelles;
Sierra Leone;21
Singapore;
Slovakia;
Slovenia;
Solomon Islands;
Somalia;25
South Africa;44
South Sudan;
Spain;
Sri Lanka;
Sudan;13
Suriname;72
Sweden;
Switzerland;
Syrian Arab Republic;83
Tajikistan;73
Thailand;85
Timor-Leste;28
Togo;17
Tonga;70
Trinidad and Tobago;
Tunisia;84
Türkiye;
Turkmenistan;100
Tuvalu;
Uganda;23
Ukraine;
United Arab Emirates;
United Kingdom of Great Britain and Northern Ireland;
United Republic of Tanzania;48
United States of America;
Uruguay;
Uzbekistan;
Vanuatu;
Venezuela (Bolivarian Republic of);
Viet Nam;86
Yemen;
Zambia;18
Zimbabwe;42
